,seconds of week [s],ECEF_vel_x,ECEF_vel_y,ECEF_vel_z,IMU_ATTI(0):velN[meters/Sec],IMU_ATTI(0):velE[meters/Sec],IMU_ATTI(0):velD[meters/Sec],IMU_ATTI(0):velH[meters/Sec],IMU_ATTI(0):velComposite[meters/Sec],GPS(0):Lat[degrees],GPS(0):Long[degrees],Normalized barometer:Raw[meters]
0,594853.0,0.0028227451257407665,-0.0021215099841356277,0.0031400835141539574,0.002255561,0.0012299560000000001,0.00422734,0.002569114,0.004946792,37.426469399999995,-122.17578710000001,2.3226300000000037
1,594853.2,0.0028895814903080463,-0.0007909825071692467,0.0015736971981823444,0.001717704,0.0005780000000000001,0.006101906,0.001812438,0.00636539,37.426469399999995,-122.17578710000001,2.6789400000000114
2,594853.4,0.0020972019992768764,0.0003682579845190048,0.0029047499410808086,0.003114617,-0.0007099999999999999,0.005737085,0.0031944609999999996,0.006566485,37.426469399999995,-122.17578710000001,3.1007199999999955
3,594853.6,-0.0024191346019506454,-0.00648545753210783,0.00796485785394907,0.002145783,-0.000883,-0.0038549340000000004,0.002320301,0.004499368,37.426469299999994,-122.17578710000001,3.0823800000000006
4,594853.8,-0.0041823252104222775,-0.010362142696976662,0.010616795625537634,0.001686955,-0.00031099999999999997,-0.008818058,0.0017154720000000002,0.008983374,37.426469299999994,-122.17578710000001,2.7109000000000094
5,594854.0,-0.0004192441701889038,-0.0034681865945458412,0.005386331118643284,0.002297425,-0.000797,0.000586,0.002431868,0.002501464,37.426469299999994,-122.17578710000001,2.682079999999999
6,594854.2,-0.0005079545080661774,-0.0060166260227561,0.0060972776263952255,0.0015223679999999999,0.00048499999999999997,-0.001596572,0.0015976410000000001,0.00225865,37.42646920000001,-122.17578689999999,2.5841000000000065
7,594854.4,-0.0030450555495917797,-0.010969433933496475,0.010346810333430767,0.001528215,0.000975,-0.00858124,0.001813,0.00877067,37.42646920000001,-122.17578689999999,2.611869999999996
8,594854.6,0.0005774460732936859,-0.003970296122133732,0.002049738075584173,-0.000288,0.000314,0.00269778,0.000426,0.002731175,37.4264691,-122.17578689999999,2.7931700000000035
9,594854.8,-0.0002524377778172493,-0.002947661094367504,0.004554201848804951,0.001958349,-0.000933,0.0015121429999999999,0.0021691370000000002,0.0026441890000000003,37.4264691,-122.17578689999999,2.4504850000000005
10,594855.0,-0.0002399100922048092,-0.0039192670956254005,0.00518169766291976,0.001960918,-0.000405,0.00048300000000000003,0.002002297,0.002059825,37.426469,-122.1757867,2.602969999999999
11,594855.2,0.0011224099434912205,-0.0064699891954660416,0.006169511470943689,0.001874159,0.002106396,-0.001255746,0.002819463,0.003086465,37.426469,-122.1757866,2.609250000000003
12,594855.4,0.005756013095378876,0.00031800195574760437,-0.0015175309963524342,0.0007610000000000001,0.002413651,0.00993819,0.002530644,0.010255329,37.426469,-122.1757866,1.7116400000000027
13,594855.6,-0.0016694506630301476,-0.011462709866464138,0.00823033507913351,3.8900000000000004e-05,0.002402016,-0.007044801999999999,0.002402331,0.007443147,37.4264689,-122.1757865,2.6925600000000003
14,594855.8,0.0053888000547885895,0.0025579985231161118,0.00025811512023210526,0.003204525,0.00091,0.010209419,0.003331346,0.010739185,37.426469,-122.1757867,2.5882900000000006
15,594856.0,0.0029453332535922527,-0.0019690338522195816,0.0024081054143607616,0.001792381,0.0012525210000000001,0.004826525999999999,0.00218665,0.005298754,37.426469,-122.1757867,2.022350000000003
16,594856.2,0.0017738239839673042,-0.002117512747645378,0.004409430082887411,0.002926181,0.00033999999999999997,0.003015012,0.0029458390000000004,0.004215242,37.4264689,-122.1757868,1.942184999999995
17,594856.4,0.0023796148598194122,-0.0014625973999500275,-0.0012847441248595715,-0.0010628039999999999,0.000504,0.0071720080000000005,0.001176068,0.007267794,37.4264689,-122.1757868,1.4370600000000024
18,594856.6,0.007866789121180773,-0.001610427163541317,0.005615466274321079,0.006116671,0.005227174,0.005199545999999999,0.008045931,0.009579785,37.4264689,-122.1757867,1.506225999999998
19,594856.8,0.003763881977647543,-0.005944272503256798,0.015536259859800339,0.010437905,0.004062237,-0.00547791,0.011200518999999999,0.012468324,37.426468799999995,-122.1757868,0.9104099999999988
20,594857.0,0.002582728397101164,-0.015824570320546627,0.028501867782324553,0.015269574,0.008323907,-0.020498414,0.017391012,0.026881821,37.426468799999995,-122.1757867,0.8181840000000022
21,594857.2,-0.003115723840892315,-0.03174274507910013,0.035476379096508026,0.010775643,0.011977316000000002,-0.03784666,0.016111194,0.0411332,37.426468799999995,-122.1757867,1.4768799999999942
22,594857.4,-0.014150102622807026,-0.04327458143234253,0.04747385159134865,0.010800087,0.008778494,-0.05755572,0.013917752,0.059214565999999996,37.4264687,-122.1757867,1.923320000000004
23,594857.6,-0.009706804994493723,-0.04225149564445019,0.04809348937124014,0.013256444,0.011994578,-0.055365592000000005,0.017877449,0.05818034,37.4264687,-122.1757867,1.5219400000000007
24,594857.8,-0.00642448989674449,-0.02515353634953499,0.03366741444915533,0.011657787,0.005667849,-0.033717446,0.012962581,0.036123327999999996,37.4264686,-122.1757867,1.6901500000000027
25,594858.0,0.0014488422311842442,-0.01785644143819809,0.03034746879711747,0.015323056000000002,0.008446168,-0.023465337000000003,0.017496678999999998,0.029270392000000003,37.4264686,-122.1757866,1.5518100000000032
26,594858.2,0.033426400274038315,0.04292525351047516,-0.02412370592355728,0.013681198,0.003145346,0.064017765,0.014038104,0.06553886,37.4264686,-122.1757867,0.8396699999999981
