week,seconds of week [s],pr [m],SV,sat x ECEF [m],sat y ECEF [m],sat z ECEF [m],idk wtf this is,Pr_sigma
2092,594600.445748488,24737880.4539061,13,-13070884.7712771,11271582.6709057,20041284.712485,-1.26E-05,4.796679328
2092,594600.445748488,23691173.0824397,23,-698252.676734269,-25424744.7421228,-6573684.50579467,-0.00013605289361,2.99792458
2092,594600.445748488,24092131.0979988,27,13215526.4125119,-7801770.96403011,21511032.4515444,-0.000212145028896,4.197094412
2092,594600.445748488,21649825.3917873,28,-22649844.8791292,-13253577.3726691,4143811.92632619,0.000738972643885,3.597509496
2092,594600.445748488,21162043.5735615,30,-15154292.9594071,-7199021.05744639,20658029.9137653,-0.000154001920579,7.195018992
2092,594601.445748489,24406513.7321907,4,1379452.79338841,-25350177.4319191,-7758825.91776928,-4.93E-05,5.096471786
2092,594601.445748489,23498260.1226176,5,-21664953.5149089,4279477.76905418,14760830.8470003,-7.66E-06,2.398339664
2092,594601.445748489,20829070.5593032,7,-5133228.13195297,-15410715.2808477,21222731.6338818,-0.000215248917775,9.293566198
2092,594601.445748489,22205679.4624026,8,7844659.67047619,-18844619.5419952,16886132.7296792,-2.39E-05,3.897301954
2092,594601.445748489,21775444.9024378,9,-6952845.62850549,-25531799.9832833,2140045.25978004,-0.000156390461284,3.597509496
2092,594601.445748489,24461708.5265983,11,11974770.0141653,-23685901.5259564,2576597.82007739,-0.000360124739731,5.096471786
2092,594601.445748489,24737207.9225144,13,-13071165.4612056,11269023.1731488,20042541.1717538,-1.26E-05,5.096471786
2092,594601.445748489,23691828.6173194,23,-697711.424430397,-25423949.8414972,-6576692.67355028,-0.000136052894686,2.99792458
2092,594601.445748489,24092586.0600757,27,13216119.5346557,-7799074.28719728,21511674.541622,-0.000212145041639,5.696056702
2092,594601.445748489,21649407.6335746,28,-22649338.1990745,-13253597.3325803,4146979.80074206,0.000738972641587,3.597509496
2092,594601.445748489,21161773.932797,30,-15152308.9122518,-7200735.3161532,20658868.9887582,-0.000154001928905,6.295641618
