week,seconds of week [s],pr [m],SV,sat x ECEF [m],sat y ECEF [m],sat z ECEF [m],idk wtf this is
2092,594858.4,24582006.4188469,4,1492010.36330036,-25099626.0539042,-8515561.2862366,-4.93E-05
2092,594858.4,23517622.0815115,5,-22104994.4199303,4087972.61773419,14160846.9336291,-7.66E-06
2092,594858.4,20833242.6271612,7,-4606735.89625791,-15834495.3754134,21015753.8810885,-0.000215250568737
2092,594858.4,22245699.1984594,8,8008402.69630198,-18307311.1399936,17399638.7970365,-2.39E-05
2092,594858.4,21913999.8406935,9,-6888071.00582854,-25605983.8977622,1330952.56653015,-0.000156392694388
2092,594858.4,24353594.2367738,11,12030682.2173988,-23543100.3752047,3351137.19450425,-0.000360121623412
2092,594858.4,23863378.7064807,23,-554264.026634083,-25208313.6082386,-7344808.62217366,-0.000136053184089
2092,594858.4,24216783.3430799,27,13374446.2204789,-7104885.90057203,21661251.049483,-0.000212148306455
2092,594858.4,21546164.0834261,28,-22507228.2624348,-13254327.7666881,4958012.38156869,0.000738972081316
2092,594858.4,21094629.8574891,30,-14642906.2209531,-7647030.88249367,20859976.0994656,-0.000154004074607
2092,594859.4,24582699.9952012,4,1492463.94869618,-25098607.5360065,-8518483.05950238,-4.93E-05
2092,594859.4,23517722.0712592,5,-22106675.3542177,4087250.94498972,14158472.9741809,-7.66E-06
2092,594859.4,20833255.0866167,7,-4604708.74862346,-15836151.1951138,21014891.6676806,-0.000215250575235
2092,594859.4,22245867.5581601,8,8009062.79962785,-18305194.1515774,17401589.2308447,-2.39E-05
2092,594859.4,21914541.7397552,9,-6887809.84433138,-25606224.5947237,1327799.9488882,-0.000156392703066
2092,594859.4,24353174.4194354,11,12030886.1274555,-23542500.8592636,3354142.56294914,-0.000360121611382
2092,594859.4,23864054.6232146,23,-553688.506228412,-25207430.7564704,-7347777.27226571,-0.000136053185265
2092,594859.4,24217278.789662,27,13375085.1606903,-7102181.11591034,21661772.8530027,-0.000212148319119
2092,594859.4,21545779.9343328,28,-22506628.958577,-13254314.0993247,4961155.30699681,0.000738972079253
2092,594859.4,21094367.1270108,30,-14640926.6672001,-7648789.40373689,20860701.8680032,-0.00015400408298
2092,594860.4,24583378.145563,4,1492917.6590101,-25097588.6828979,-8521404.65137942,-4.93E-05
2092,594860.4,23517805.4134991,5,-22108356.041575,4086529.45203168,14156098.7136257,-7.66E-06
2092,594860.4,20833287.1601169,7,-4602681.77084962,-15837807.0634801,21014029.0149204,-0.000215250581733
2092,594860.4,22246032.7419213,8,8009723.08279265,-18303076.9645147,17403539.2917503,-2.39E-05
2092,594860.4,21915091.5612157,9,-6887548.60777685,-25606464.9205103,1324647.3030426,-0.000156392711745
2092,594860.4,24352764.3044181,11,12031089.9356018,-23541901.0024303,3357147.86064313,-0.000360121599352
2092,594860.4,23864724.9558789,23,-553112.847658306,-25206547.5679373,-7350745.76067696,-0.00013605318644
2092,594860.4,24217771.3395079,27,13375724.2778526,-7099476.308836,21662294.1888937,-0.000212148331784
2092,594860.4,21545389.6078624,28,-22506029.2948896,-13254300.3088328,4964298.12722789,0.000738972077191
