Provider,Latitude,Longitude,Altitude,Speed,Accuracy,(UTC)TimeInMs
gps,37.426332,-122.175532,2.979004,1.310000,3.216000,1581800889000
gps,37.426343,-122.175526,2.712341,1.360000,3.216000,1581800890000
gps,37.426354,-122.175522,2.564606,1.380000,3.216000,1581800891000
gps,37.426364,-122.175517,2.763092,1.200000,3.216000,1581800892000
gps,37.426374,-122.175514,2.687927,1.270000,3.216000,1581800893000
gps,37.426384,-122.175510,2.794800,1.310000,3.216000,1581800894000
gps,37.426395,-122.175506,2.545074,1.300000,3.216000,1581800895000
gps,37.426406,-122.175501,2.358276,1.280000,3.216000,1581800896000
gps,37.426416,-122.175497,2.406342,1.230000,3.216000,1581800897000
gps,37.426429,-122.175494,2.092468,1.390000,3.216000,1581800898000
gps,37.426442,-122.175489,2.032806,1.390000,3.216000,1581800899000
gps,37.426450,-122.175486,2.275513,0.870000,3.216000,1581800900000
gps,37.426452,-122.175484,2.151184,0.000000,3.216000,1581800901000
gps,37.426452,-122.175483,2.005890,0.000000,3.216000,1581800902000
gps,37.426451,-122.175482,1.875122,0.000000,3.216000,1581800903000
gps,37.426452,-122.175483,2.188629,0.000000,3.216000,1581800904000
gps,37.426451,-122.175485,1.892700,0.190000,3.216000,1581800905000
gps,37.426451,-122.175487,2.030304,0.270000,3.216000,1581800906000
gps,37.426453,-122.175489,1.419922,0.290000,3.216000,1581800907000
gps,37.426456,-122.175491,1.071808,0.600000,3.216000,1581800908000
gps,37.426458,-122.175495,1.034668,0.680000,3.216000,1581800909000
gps,37.426463,-122.175500,1.254211,1.060000,3.216000,1581800910000
gps,37.426468,-122.175508,1.145569,1.170000,3.216000,1581800911000
gps,37.426474,-122.175518,1.236572,1.240000,3.216000,1581800912000
gps,37.426481,-122.175530,1.416870,1.460000,3.216000,1581800913000
gps,37.426480,-122.175543,1.292053,0.000000,3.216000,1581800914000
gps,37.426485,-122.175552,1.674469,1.060000,3.216000,1581800915000
gps,37.426486,-122.175560,2.079895,0.230000,3.216000,1581800916000
gps,37.426487,-122.175565,2.605957,0.160000,3.216000,1581800917000
gps,37.426495,-122.175572,3.451385,1.360000,3.216000,1581800918000
gps,37.426504,-122.175582,4.048523,1.410000,3.216000,1581800919000
gps,37.426507,-122.175595,4.307251,1.070000,3.216000,1581800920000
gps,37.426512,-122.175609,4.492889,1.310000,3.216000,1581800921000
gps,37.426514,-122.175623,4.676758,0.000000,3.216000,1581800922000
gps,37.426517,-122.175638,4.981506,0.170000,3.216000,1581800923000
gps,37.426520,-122.175654,4.575928,0.000000,3.216000,1581800924000
gps,37.426519,-122.175668,5.018585,0.370000,3.216000,1581800925000
gps,37.426526,-122.175683,4.513245,0.250000,3.216000,1581800926000
gps,37.426533,-122.175703,4.687225,0.280000,3.216000,1581800927000
gps,37.426537,-122.175721,5.382599,0.320000,3.216000,1581800928000
gps,37.426536,-122.175736,5.052551,0.180000,3.216000,1581800929000
gps,37.426539,-122.175745,4.982819,0.460000,3.216000,1581800930000
gps,37.426546,-122.175751,4.538391,0.910000,3.216000,1581800931000
gps,37.426549,-122.175754,4.423920,0.250000,3.216000,1581800932000
gps,37.426548,-122.175756,4.058441,0.000000,3.216000,1581800933000
gps,37.426545,-122.175757,3.635498,0.000000,3.216000,1581800934000
gps,37.426543,-122.175755,3.422211,0.000000,3.216000,1581800935000
gps,37.426543,-122.175757,3.496704,0.200000,3.216000,1581800936000
gps,37.426545,-122.175756,3.671356,0.000000,3.216000,1581800937000
gps,37.426545,-122.175758,3.453674,0.000000,3.216000,1581800938000
gps,37.426545,-122.175759,3.445648,0.000000,3.216000,1581800939000
gps,37.426546,-122.175765,3.305237,0.000000,3.216000,1581800940000
gps,37.426546,-122.175766,3.369446,0.000000,3.216000,1581800941000
gps,37.426546,-122.175767,3.371033,0.000000,3.216000,1581800942000
gps,37.426546,-122.175767,3.531036,0.000000,3.216000,1581800943000
