week,seconds of week [s],pr [m],SV,sat x ECEF [m],sat y ECEF [m],sat z ECEF [m],idk wtf this is
2092,594416.4,24281348.7299115,4,1303120.41613087,-25516517.900562,-7207272.53574278,-4.93E-05
2092,594416.4,23488907.6435196,5,-21338597.5058785,4424909.93829059,15179938.5575779,-7.66E-06
2092,594416.4,20827962.6798793,7,-5518781.23417865,-15108145.0951956,21353619.4093234,-0.00021524775243
2092,594416.4,22182062.2330124,8,7733945.46870571,-19222701.7258876,16501644.3044917,-2.39E-05
2092,594416.4,21678866.0092493,9,-6996885.83374147,-25463168.7166694,2720667.55397703,-0.000156388850469
2092,594416.4,24541446.8777545,11,11929929.2532003,-23774857.5394178,2016772.20275893,-0.000360127013038
2092,594416.4,24861412.6742119,13,-13021964.7231947,11740047.4462181,19802776.1218439,-1.26E-05
2092,594416.4,23570071.0492573,23,-795715.489914227,-25565105.7288655,-6017790.42885266,-0.000136052702427
2092,594416.4,24007115.3821928,27,13109426.0498184,-8297196.59644495,21384992.2193236,-0.000212142679333
2092,594416.4,21726970.7103883,28,-22736987.8113125,-13247510.1946922,3559492.79945382,0.000738973082036
2092,594416.4,21211720.7138211,30,-15519471.6222792,-6886612.55060366,20496223.946116,-0.000154000391796
2092,594417.4,24282018.8880736,4,1303523.05521608,-25515650.7265394,-7210268.39948184,-4.93E-05
2092,594417.4,23488950.6059556,5,-21340382.4535897,4424106.47850646,15177702.5529403,-7.66E-06
2092,594417.4,20827954.3735757,7,-5516682.95440582,-15109774.3373739,21352952.8229314,-0.000215247758678
2092,594417.4,22182179.2541726,8,7734528.12013642,-19220678.4094731,16503755.4363058,-2.39E-05
2092,594417.4,21679382.9544996,9,-6996652.91954948,-25463574.0180605,2717534.00799879,-0.000156388859184
2092,594417.4,24541009.8894019,11,11930182.5641775,-23774407.672096,2019802.54862317,-0.000360127000682
2092,594417.4,24860736.443374,13,-13022216.029972,11737515.1521943,19804111.5605576,-1.26E-05
2092,594417.4,23570724.106206,23,-795197.003518954,-25564374.7813289,-6020824.07209596,-0.000136052703429
2092,594417.4,24007572.0892915,27,13109986.3607064,-8294508.56176772,21385719.5916967,-0.000212142692129
2092,594417.4,21726541.1907289,28,-22736546.8760836,-13247556.3441334,3562675.76049358,0.000738973079572
2092,594417.4,21211447.6877143,30,-15517486.6618592,-6888294.0574701,20497143.0876517,-0.000154000400088
2092,594418.4,24282683.6366682,4,1303925.80006893,-25514783.2032447,-7213264.10961592,-4.93E-05
2092,594418.4,23488987.6004172,5,-21342167.1779414,4423303.20831467,15175466.2252608,-7.66E-06
